('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         367967 function calls (359047 primitive calls) in 2.303 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2370    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1071    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      130    0.001    0.000    0.006    0.000 sre_compile.py:536(_compile_info)
      210    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      645    0.001    0.000    0.002    0.000 sre_parse.py:355(_escape)
     4370    0.001    0.000    0.002    0.000 abc.py:96(__instancecheck__)
       77    0.001    0.000    0.010    0.000 css_parser.py:458(parse_attribute_selector)
      321    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      128    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
     2251    0.001    0.000    0.004    0.000 css_parser.py:308(match)
     1194    0.001    0.000    0.014    0.000 _htmlparser.py:171(handle_endtag)
      875    0.001    0.000    0.002    0.000 sre_parse.py:168(__setitem__)
      151    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      475    0.001    0.000    0.002    0.000 __init__.py:576(object_was_parsed)
      127    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     2342    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     4370    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        7    0.001    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
    127/4    0.001    0.000    0.272    0.068 <frozen importlib._bootstrap>:650(_load_unlocked)
      544    0.001    0.000    0.002    0.000 sre_parse.py:432(_uniq)
      130    0.001    0.000    0.072    0.001 sre_parse.py:937(parse)
  136/131    0.001    0.000    0.008    0.000 css_parser.py:386(freeze)
      136    0.001    0.000    0.005    0.000 css_types.py:177(__init__)
     1194    0.001    0.000    0.001    0.000 element.py:1184(is_empty_element)
      472    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      273    0.001    0.000    0.002    0.000 enum.py:75(__setitem__)
        9    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     2620    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
      136    0.001    0.000    0.001    0.000 css_parser.py:360(__init__)
      408    0.001    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      475    0.001    0.000    0.002    0.000 element.py:890(__new__)
     1531    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       84    0.001    0.000    0.001    0.000 css_parser.py:767(parse_combinator)
      333    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
       95    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
     2099    0.001    0.000    0.010    0.000 {built-in method builtins.next}
     1365    0.001    0.000    0.001    0.000 element.py:1376(get)
    132/3    0.001    0.000    0.273    0.091 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      661    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      567    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
      151    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      130    0.001    0.000    0.001    0.000 enum.py:938(__and__)
        1    0.001    0.001    0.285    0.285 client.py:564(_readall_chunked)
      124    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     1002    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1341    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1195    0.001    0.000    0.001    0.000 __init__.py:195(can_be_empty_element)
     3052    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       16    0.001    0.000    0.001    0.000 enum.py:200(<setcomp>)
     1956    0.001    0.000    0.001    0.000 element.py:1802(descendants)
    105/4    0.001    0.000    0.272    0.068 <frozen importlib._bootstrap_external>:842(exec_module)
      210    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      350    0.001    0.000    0.005    0.000 enum.py:313(__call__)
      107    0.001    0.000    0.001    0.000 client.py:510(_read_next_chunk_size)
      151    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      189    0.000    0.000    0.002    0.000 css_types.py:302(__init__)
      120    0.000    0.000    0.001    0.000 __init__.py:604(_linkage_fixer)
      212    0.000    0.000    0.279    0.001 client.py:602(_safe_read)
       10    0.000    0.000    0.002    0.000 enum.py:500(<listcomp>)
  151/123    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
       69    0.000    0.000    0.001    0.000 css_types.py:212(__init__)
      662    0.000    0.000    0.000    0.000 socket.py:694(readable)
     1944    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1324    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
     1195    0.000    0.000    0.001    0.000 __init__.py:434(set_up_substitutions)
     2556    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      130    0.000    0.000    0.037    0.000 sre_compile.py:598(_code)
      105    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       95    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      308    0.000    0.000    0.001    0.000 css_parser.py:239(css_unescape)
      130    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      549    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.000    0.000 langrussianmodel.py:4(<module>)
     1194    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      894    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1121    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     2690    0.000    0.000    0.000    0.000 element.py:1419(__bool__)
      661    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      340    0.000    0.000    0.001    0.000 enum.py:631(__new__)
      130    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      127    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      105    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
       69    0.000    0.000    0.002    0.000 css_parser.py:528(parse_tag_pattern)
     2181    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
