('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         449680 function calls (437022 primitive calls) in 2.363 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      877    0.002    0.000    0.003    0.000 sre_compile.py:249(_compile_charset)
      877    0.011    0.000    0.017    0.000 sre_compile.py:276(_optimize_charset)
      874    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      837    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x108ac9808}
      826    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      809    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      809    0.001    0.000    0.002    0.000 sre_parse.py:432(_uniq)
      781    0.001    0.000    0.002    0.000 sre_parse.py:355(_escape)
      751    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
      732    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      710    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      689    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      689    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      557    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      529    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      529    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      528    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      528    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      515    0.012    0.000    0.099    0.000 {built-in method builtins.__build_class__}
      483    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      479    0.000    0.000    0.000    0.000 __init__.py:726(handle_data)
      475    0.001    0.000    0.003    0.000 __init__.py:576(object_was_parsed)
      475    0.001    0.000    0.003    0.000 element.py:890(__new__)
      472    0.004    0.000    0.005    0.000 css_types.py:37(__init__)
      465    0.001    0.000    0.006    0.000 enum.py:313(__call__)
      463    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      462    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
      455    0.000    0.000    0.001    0.000 enum.py:631(__new__)
      449    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      444    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      444    0.007    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      412    0.001    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      376    0.000    0.000    0.000    0.000 typing.py:646(_is_dunder)
      376    0.000    0.000    0.001    0.000 typing.py:762(__setattr__)
      373    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:376(cached)
      371    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      366    0.000    0.000    0.001    0.000 _htmlparser.py:189(handle_data)
      355    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      352    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      344    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      341    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      339    0.000    0.000    0.001    0.000 types.py:171(__get__)
      334    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      333    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
      330    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      325    0.002    0.000    0.008    0.000 css_parser.py:1014(selector_iter)
      317    0.003    0.000    0.167    0.001 re.py:289(_compile)
      315    0.000    0.000    0.167    0.001 re.py:250(compile)
      311    0.000    0.000    0.000    0.000 css_parser.py:303(get_name)
      310    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      308    0.000    0.000    0.001    0.000 css_parser.py:239(css_unescape)
      287    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
      273    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      273    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      273    0.001    0.000    0.002    0.000 enum.py:75(__setitem__)
      273    0.000    0.000    0.001    0.000 css_parser.py:335(match)
      269    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      264    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      264    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      264    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      264    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      262    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      262    0.002    0.000    0.002    0.000 sre_compile.py:413(<listcomp>)
      262    0.001    0.000    0.003    0.000 sre_compile.py:411(_mk_bitmap)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
    255/3    0.000    0.000    0.512    0.171 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      252    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      250    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      237    0.083    0.000    0.227    0.001 {method 'read' of '_io.BufferedReader' objects}
      236    0.000    0.000    0.000    0.000 os.py:752(decode)
      232    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      228    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      227    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      222    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      222    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      222    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      222    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
    222/3    0.003    0.000    0.517    0.172 <frozen importlib._bootstrap>:986(_find_and_load)
    221/3    0.002    0.000    0.517    0.172 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      220    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      219    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
  218/189    0.003    0.000    0.110    0.001 <frozen importlib._bootstrap>:890(_find_spec)
      218    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
      218    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      217    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      215    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      215    0.002    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      215    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
  206/204    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      204    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
      204    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  204/203    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
    204/3    0.002    0.000    0.516    0.172 <frozen importlib._bootstrap>:650(_load_unlocked)
      197    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      197    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      197    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
  194/158    0.001    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
    192/1    0.003    0.000    2.363    2.363 {built-in method builtins.exec}
      189    0.000    0.000    0.000    0.000 status_codes.py:115(<genexpr>)
      189    0.000    0.000    0.002    0.000 css_types.py:302(__init__)
      187    0.000    0.000    0.000    0.000 enum.py:753(value)
  178/177    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
      176    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      176    0.030    0.000    0.030    0.000 {built-in method marshal.loads}
      176    0.017    0.000    0.017    0.000 {built-in method io.open_code}
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      176    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      176    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
